route_short_name,orig_city,dest_city,agency_name,agency_id
970,בני ברק,חיפה,אגד,3
972,ירושלים,חיפה,אגד,3
450,ירושלים,אשדוד,אגד,3
350,בני ברק,אשדוד,אגד,3
980,צפת,בני ברק,אגד,3
982,ירושלים,צפת,אגד,3
402,בני ברק,ירושלים,אגד,3
402,בני ברק,ירושלים,דן,5
407,ירושלים,נתניה,אגד,3
426,ירושלים,פתח תקוה,אגד,3
451,אשדוד,ירושלים,אגד,3
454,אשדוד,בית שמש,אגד,3
491,ירושלים,תפרח,אגד,3
492,ירושלים,נתיבות,אגד,3
494,אופקים,ירושלים,אגד,3
497,רמת בית שמש,בני ברק,אגד,3
554,ירושלים,ערד,אגד,3
951,בני ברק,מגדל העמק,אגד,3
952,ירושלים,מגדל העמק,אגד,3
969,בני ברק,טבריה,אגד,3
970,בני ברק,חיפה,אגד,3
972,חיפה,ירושלים,אגד,3
973,אשדוד,חיפה,אגד,3
980,בני ברק,צפת,אגד,3
982,ירושלים,צפת,אגד,3
984,אשדוד,חצור הגלילית,אגד,3
996,ירושלים,רכסים,אגד,3
997,ירושלים,קריית אתא,אגד,3
998,בני ברק,קריית אתא,אגד,3
999,ירושלים,קריית אתא,אגד,3
319,בני ברק,רחובות,אגד,3
350,אשדוד,בני ברק,אגד,3
351,אשדוד,בני ברק,אגד,3
490,בני ברק,תפרח,אגד,3
498,אופקים,בני ברק,אגד ,3
